variant,story,n_cascades,size_mean,size_max,size_p90,size_p99,hill_alpha_top10
abm_llm,fake,80,20.8,74.0,37.10000000000001,63.72999999999992,4.52734888224429
abm_llm,true,80,21.375,63.0,40.300000000000026,56.67999999999995,5.141767214088028
pure_abm,fake,80,20.475,57.0,37.10000000000001,48.30999999999993,8.051690660392804
pure_abm,true,80,21.3125,54.0,37.10000000000001,48.469999999999956,8.74333491413935
pure_llm,fake,80,4.825,20.0,13.0,17.62999999999998,8.515465446059478
pure_llm,true,80,5.1375,23.0,11.100000000000009,19.04999999999997,3.740122624624042
